,R,F,M,C,L
10451,26,24,29662,0.717096285,79
10452,6,14,32508,0.654285714,14
10453,79,22,35893,0.59257404,29
10454,110,21,25638,0.829567829,24
10455,148,20,25958,0.819298482,72
10456,11,28,27568,0.771438987,30
10457,56,17,27604,0.77041407,94
10458,98,17,30461,0.698126457,43
10459,50,15,27141,0.783472974,68
10460,94,13,22059,0.963967542,84
10461,13,39,26160,0.81272974,65
10462,57,12,31172,0.681990248,18
10463,23,11,28637,0.742242903,53
10464,145,15,26072,0.815260433,20
10465,104,31,24638,0.86270233,78
10466,99,22,33600,0.632549702,70
10467,20,12,29881,0.7112697029999999,48
10468,92,25,34946,0.608162594,48
10469,1,17,14677,1.447846971,38
10470,39,16,33873,0.627316152,38
10471,26,17,29285,0.725563258,28
10472,31,26,29786,0.71335426,87
10473,16,18,27861,0.762577438,21
10474,10,23,27707,0.7666799,20
10475,19,24,27092,0.783987155,25
10476,60,16,27685,0.767190898,31
10477,31,26,24532,0.865725583,58
10478,137,22,31415,0.6759598920000001,33
10479,48,19,31526,0.673529468,31
10480,314,24,32267,0.658054669,24
10481,152,24,31151,0.681545697,62
10482,97,25,32572,0.651779442,104
10483,115,9,28300,0.750117314,21
10484,24,22,30775,0.689752721,38
10485,238,15,28228,0.751929999,34
10486,72,22,35339,0.600596508,31
10487,6,24,34669,0.612194179,26
10488,3,37,31312,0.677776252,59
10489,4,7,29930,0.709046108,29
10490,330,10,26349,0.805256366,47
10491,52,26,22060,0.9616967359999999,48
10492,170,17,24919,0.851338336,51
10493,26,21,25866,0.8201020640000001,85
10494,80,29,30133,0.703863538,89
10495,18,22,39732,0.533793416,24
10496,5,29,39001,0.543780929,101
10497,29,13,34378,0.616886672,53
10498,156,8,24562,0.863367804,20
10499,164,18,29144,0.727624211,65
10500,24,18,25447,0.8332887959999999,90
10501,52,14,34964,0.606447489,15
10502,67,15,19270,1.100353399,54
10503,33,35,38883,0.545301288,43
10504,473,19,25522,0.830749941,27
10505,33,9,27623,0.767405785,14
10506,94,17,33064,0.641058856,65
10507,23,29,35054,0.604471102,56
10508,109,8,25840,0.82,20
10509,64,27,28604,0.7407572370000001,107
10510,2,35,29393,0.720866193,91
10511,5,29,35315,0.5999716829999999,12
10512,93,18,22568,0.938842609,69
10513,10,21,35401,0.598491003,103
10514,7,20,30667,0.690870317,55
10515,68,14,28559,0.741791729,74
10516,4,21,25526,0.829789626,72
10517,108,18,32948,0.642852373,31
10518,18,25,37774,0.560668449,108
10519,1,20,21035,1.006782505,83
10520,18,14,28417,0.745191963,71
10521,31,23,26050,0.812875624,65
10522,137,21,31850,0.664807849,38
10523,49,9,24246,0.873295389,21
10524,12,16,23836,0.888272361,52
10525,22,13,21455,0.986768585,53
10526,129,13,39818,0.5316927020000001,23
10527,13,29,25244,0.838550151,65
10528,126,10,29546,0.7164282809999999,36
10529,65,20,31417,0.673753382,100
10530,16,14,27538,0.7685714290000001,16
10531,58,11,30324,0.6979471709999999,44
10532,15,26,34101,0.620630773,94
10533,696,4,26190,0.808098511,65
10534,76,18,31290,0.6763700859999999,26
10535,16,19,24115,0.877536388,42
10536,105,3,36696,0.576666667,54
10537,100,10,17532,1.206966119,27
10538,11,21,30168,0.7013898829999999,13
10539,102,22,28054,0.754218293,31
10540,242,22,30064,0.7037729509999999,48
10541,206,18,30461,0.694549752,29
10542,244,8,25840,0.81875,44
10543,100,22,28327,0.7468323509999999,112
10544,23,12,14735,1.435494401,52
10545,30,33,27159,0.778768364,45
10546,3,26,29788,0.710029206,74
10547,27,19,32151,0.657753725,53
10548,321,20,25805,0.8193489629999999,67
10549,4,19,34364,0.615271505,91
10550,12,20,31687,0.667191908,24
10551,5,25,31689,0.667148222,52
10552,2,18,30289,0.697981115,109
10553,208,27,32434,0.651787322,25
10554,32,22,30984,0.682205332,18
10555,126,22,26703,0.791462757,66
10556,386,15,19040,1.109978992,54
10557,323,16,29098,0.726223452,25
10558,251,13,21708,0.9734245440000001,36
10559,13,21,36376,0.580891522,15
10560,23,15,37803,0.558915695,93
10561,5,30,28902,0.73091966,81
10562,18,27,29605,0.7135416309999999,46
10563,2,23,31255,0.6757901140000001,110
10564,170,24,28231,0.748076582,21
10565,2,18,32474,0.650284843,72
10566,14,33,23258,0.907829564,66
10567,77,21,33266,0.634678651,14
10568,56,43,28638,0.737209302,47
10569,505,11,29294,0.720632211,31
10570,75,19,26574,0.7943606529999999,12
10571,21,12,28022,0.753239597,22
10572,14,30,24958,0.8456739320000001,86
10573,84,28,29771,0.7089258,24
10574,84,18,32293,0.653537609,98
10575,36,33,27713,0.7615429579999999,31
10576,16,32,26863,0.7855760709999999,40
10577,212,3,25840,0.816628483,12
10578,3,16,25794,0.81807746,27
10579,8,16,25283,0.834575802,93
10580,43,27,30249,0.697486198,44
10581,28,17,42083,0.501291258,54
10582,164,19,28296,0.745509613,79
10583,22,15,38785,0.5438857810000001,33
10584,2,15,30373,0.6944638329999999,83
10585,24,22,23886,0.8830306459999999,49
10586,82,18,21531,0.979577818,27
10587,76,28,29484,0.7153323840000001,47
10588,43,31,26104,0.807825238,37
10589,86,12,23706,0.889477348,61
10590,3,18,35635,0.5916295779999999,39
10591,13,31,32421,0.650224237,19
10592,11,23,32813,0.64234145,74
10593,20,31,29814,0.706848125,63
10594,117,23,41148,0.512143968,27
10595,401,18,23776,0.8863433709999999,32
10596,62,20,25161,0.8375267279999999,82
10597,123,13,30494,0.6909674029999999,61
10598,7,14,27538,0.765,80
10599,107,25,29413,0.716215279,25
10600,28,38,26968,0.781068303,37
10601,36,24,26410,0.7975297240000001,45
10602,7,25,31292,0.6730589290000001,42
10603,1,34,31154,0.676026192,34
10604,27,28,26728,0.787855807,13
10605,2,23,37292,0.564654886,42
10606,8,17,25960,0.8111282740000001,35
10607,23,16,35384,0.5950850670000001,102
10608,195,25,23826,0.883655251,27
10609,93,7,21322,0.987390958,82
10610,6,12,20824,1.010949385,42
10611,76,18,28361,0.742193505,79
10612,41,23,25967,0.810514884,44
10613,40,23,26488,0.7945292209999999,83
10614,3,14,27107,0.776375844,15
10615,17,19,31029,0.678195881,37
10616,22,16,30598,0.687691352,23
10617,4,13,23121,0.91002422,64
10618,144,17,30691,0.685524747,30
10619,19,19,30330,0.6936432579999999,70
10620,10,21,23821,0.8831614959999999,95
10621,64,17,28968,0.726175435,17
10622,23,15,31708,0.663421534,59
10623,67,26,28355,0.741833892,29
10624,163,22,25664,0.819460723,103
10625,17,26,33132,0.6345300620000001,37
10626,43,14,30279,0.6943016609999999,75
10627,72,17,27840,0.755107759,50
10628,32,18,26781,0.784916545,48
10629,169,19,24063,0.873563147,40
10630,108,10,25917,0.810951113,31
10631,21,16,26028,0.807431228,71
10632,67,18,23902,0.87912727,95
10633,142,16,32387,0.648735604,87
10634,4,29,40781,0.515199725,78
10635,13,10,18024,1.16567854,16
10636,479,4,19243,1.09174505,16
10637,36,21,25953,0.809454013,39
10638,151,11,30723,0.683636364,23
10639,97,13,14594,1.43909826,67
10640,157,6,32393,0.648323094,76
10641,18,16,27255,0.770433315,19
10642,21,38,36994,0.5676098829999999,62
10643,20,29,24811,0.84631091,40
10644,158,4,25395,0.826698169,39
10645,13,22,30366,0.691335046,87
10646,9,13,23380,0.897901198,38
10647,21,23,31803,0.6600562839999999,12
10648,262,14,24719,0.849208706,26
10649,34,24,32598,0.6439499360000001,75
10650,92,14,32508,0.645714286,15
10651,1,33,37857,0.554208997,43
10652,132,18,34238,0.612667504,30
10653,56,24,26605,0.7884386390000001,61
10654,46,31,27957,0.7502536040000001,77
10655,2,22,24307,0.862876538,90
10656,91,19,30803,0.680879784,30
10657,4,19,32099,0.653341849,70
10658,23,19,28497,0.735905534,18
10659,122,31,33870,0.619143195,45
10660,22,23,26537,0.79014395,74
10661,6,28,23156,0.9053998959999999,74
10662,21,23,28051,0.747257139,57
10663,2,17,28125,0.7452156440000001,80
10664,343,20,30745,0.6816832009999999,52
10665,231,18,23661,0.8855187859999999,94
10666,131,14,33773,0.620195126,73
10667,34,17,27648,0.7575549770000001,60
10668,5,24,26041,0.8041918509999999,25
10669,109,33,24178,0.865952519,67
10670,21,21,28380,0.737720226,33
10671,42,17,29138,0.71845082,74
10672,84,17,26048,0.8036521040000001,85
10673,71,20,28449,0.735711624,83
10674,335,7,19932,1.05,23
10675,97,14,28574,0.7324053340000001,40
10676,193,18,27751,0.754100032,45
10677,124,25,24277,0.861896445,48
10678,19,33,28908,0.723764702,42
10679,131,10,39654,0.527596964,45
10680,65,19,28074,0.745181663,95
10681,214,33,26527,0.7885411090000001,39
10682,35,21,33244,0.629180604,65
10683,46,14,27802,0.7523041509999999,55
10684,52,13,28567,0.7321496829999999,38
10685,73,13,27461,0.761607735,101
10686,26,35,23037,0.9078091770000001,60
10687,30,24,30905,0.676661705,62
10688,1,23,26165,0.799162622,21
10689,40,25,26188,0.798412632,34
10690,72,24,28372,0.736900818,43
10691,1,21,29203,0.71581002,83
10692,43,35,28711,0.727988228,56
10693,89,15,28132,0.742937935,54
10694,13,32,31866,0.655736522,60
10695,196,14,20591,1.014715652,64
10696,81,28,24321,0.8588520209999999,25
10697,75,25,36173,0.577436486,49
10698,169,18,30368,0.6877927420000001,63
10699,87,15,45480,0.45924978,17
10700,506,14,27864,0.749581898,25
10701,28,7,14719,1.418798831,39
10702,17,22,32185,0.648845114,53
10703,13,17,35635,0.586013189,110
10704,6,21,22547,0.926116113,42
10705,188,2,20272,1.03,59
10706,29,26,30537,0.6837099259999999,35
10707,22,16,29084,0.717809105,66
10708,358,36,24615,0.8481230959999999,29
10709,5,25,26392,0.7909821159999999,36
10710,20,28,32513,0.6420468739999999,34
10711,278,23,25164,0.829486171,21
10712,50,10,34066,0.6126812660000001,47
10713,405,7,26417,0.79002347,73
10714,37,27,28064,0.7435974909999999,42
10715,15,27,32076,0.650540903,20
10716,61,17,30055,0.6942764929999999,86
10717,157,14,22430,0.93022247,105
10718,75,23,27174,0.767801207,100
10719,8,39,47646,0.43788334799999995,90
10720,82,24,30172,0.6914370940000001,82
10721,11,25,30794,0.677465415,74
10722,64,13,29529,0.7064821020000001,96
10723,123,18,29168,0.7151134809999999,23
10724,34,16,31268,0.667052578,23
10725,9,13,22444,0.9292960259999999,32
10726,15,5,17675,1.18,20
10727,109,24,24237,0.8603894870000001,75
10728,37,25,32102,0.649551741,24
10729,198,22,19417,1.07387238,36
10730,29,24,27913,0.74693512,95
10731,102,16,29141,0.715398236,33
10732,177,17,25054,0.832072723,27
10733,108,15,29901,0.6971465840000001,71
10734,543,7,24103,0.864666224,24
10735,102,4,27131,0.768022557,24
10736,205,21,32587,0.639427993,61
10737,108,15,26070,0.7992247790000001,73
10738,167,11,25233,0.8257004720000001,51
10739,82,25,26500,0.7861769809999999,27
10740,45,39,29175,0.714087404,64
10741,6,22,31138,0.669043933,19
10742,34,30,30150,0.6909459370000001,32
10743,13,33,26407,0.788869618,20
10744,95,31,38526,0.540683175,71
10745,48,16,25633,0.812614988,45
10746,31,20,24875,0.837326633,28
10747,93,21,25941,0.802858409,39
10748,19,19,25530,0.8157254209999999,103
10749,69,23,29921,0.696012834,67
10750,25,20,46251,0.45026183200000003,67
10751,20,21,28742,0.724457936,22
10752,124,18,26013,0.8004290159999999,28
10753,5,21,32128,0.648061815,18
10754,258,16,14531,1.432749295,24
10755,10,32,23016,0.904549444,39
10756,134,21,35335,0.589121834,43
10757,4,17,34011,0.6120196410000001,24
10758,71,16,28031,0.742569655,71
10759,11,23,31985,0.65072065,37
10760,7,16,24512,0.8489686679999999,78
10761,73,27,28003,0.7429179020000001,85
10762,204,19,30120,0.6906942229999999,29
10763,36,20,29357,0.708589093,60
10764,269,19,27126,0.766821868,54
10765,4,33,31407,0.662236763,26
10766,9,32,43625,0.476695473,18
10767,648,2,24464,0.85,102
10768,233,2,24464,0.85,16
10769,79,2,24464,0.85,63
10770,161,2,24464,0.85,71
10771,70,14,28546,0.728435157,65
10772,153,2,20188,1.03,15
10773,338,2,20188,1.03,35
10774,303,2,20188,1.03,28
10775,520,2,20188,1.03,24
10776,22,27,26004,0.79957968,25
10777,6,25,30099,0.6907488620000001,33
10778,4,17,28908,0.7191850009999999,91
10779,16,19,25239,0.823690321,43
10780,8,17,34521,0.602128849,92
10781,84,21,30624,0.67870657,23
10782,60,5,30482,0.6818528970000001,82
10783,35,13,30346,0.6848728000000001,73
10784,22,27,34100,0.609458065,28
10785,23,4,25848,0.803981739,19
10786,4,55,21910,0.9484545870000001,44
10787,26,34,27926,0.7441302009999999,42
10788,12,30,24612,0.8442723059999999,104
10789,71,20,21378,0.971906633,78
10790,99,16,25843,0.8039658709999999,62
10791,146,11,27549,0.7541663940000001,49
10792,174,21,24058,0.863510683,83
10793,431,24,25691,0.808586665,26
10794,320,27,27524,0.754686819,78
10795,61,17,24817,0.836993593,25
10796,354,3,25961,0.8,47
10797,49,15,24131,0.8605424559999999,88
10798,19,18,30517,0.680386997,80
10799,22,21,29400,0.706190476,30
10800,84,20,34356,0.604309291,24
10801,36,24,34239,0.606345396,106
10802,253,23,26515,0.782875731,56
10803,37,25,26932,0.7707403829999999,56
10804,31,23,34794,0.596545956,59
10805,21,24,28910,0.717941197,102
10806,24,17,26437,0.785035367,78
10807,7,23,31293,0.66319752,87
10808,265,15,23240,0.892976764,18
10809,351,12,27438,0.7562030759999999,90
10810,306,14,27825,0.745667565,36
10811,290,4,28003,0.7408295540000001,44
10812,12,27,33137,0.626033135,25
10813,59,28,33300,0.622947748,104
10814,38,21,23050,0.899956616,98
10815,76,15,23223,0.893242045,111
10816,1,28,30047,0.6903647620000001,67
10817,25,4,30398,0.6823623259999999,50
10818,1,30,22931,0.904555405,87
10819,2,16,27162,0.7636536340000001,15
10820,6,25,30979,0.6694651220000001,23
10821,21,23,34422,0.602470223,25
10822,51,28,28827,0.719289902,59
10823,152,17,29721,0.697646109,24
10824,8,22,24541,0.844823764,21
10825,39,29,26638,0.77827915,51
10826,68,17,24936,0.831377927,26
10827,101,13,37205,0.557205214,49
10828,95,24,24980,0.8298851079999999,48
10829,317,14,35954,0.5764574179999999,87
10830,383,9,15154,1.3676257090000001,90
10831,287,15,28846,0.718425085,84
10832,37,26,25740,0.8050827509999999,66
10833,4,21,25645,0.807920842,83
10834,24,15,28377,0.72984283,25
10835,65,15,26428,0.783622295,106
10836,26,26,27747,0.746355642,53
10837,9,32,22840,0.9065122590000001,106
10838,15,4,30336,0.6825,81
10839,7,21,21912,0.9448215590000001,20
10840,104,19,29039,0.7128389409999999,39
10841,32,15,24749,0.83639743,51
10842,339,10,28325,0.730771403,27
10843,71,19,25512,0.811266855,43
10844,19,22,34544,0.599091304,74
10845,22,21,30039,0.6888245279999999,64
10846,39,21,29969,0.690388068,92
10847,31,12,17552,1.178790451,30
10848,3,15,26877,0.7697842020000001,100
10849,248,23,34325,0.602642389,32
10850,97,21,35039,0.5903613120000001,77
10851,21,23,26438,0.782413571,87
10852,120,14,36487,0.566874229,87
10853,173,4,30416,0.680001315,28
10854,47,36,29752,0.695154611,20
10855,4,24,34272,0.603433123,101
10856,8,33,29030,0.7122177059999999,35
10857,192,10,15565,1.328276903,27
10858,51,20,22678,0.911613899,82
10859,3,28,27599,0.749054676,102
10860,12,28,26373,0.783869488,26
10861,120,17,30070,0.687481543,27
10862,9,21,26499,0.78003019,59
10863,14,28,29806,0.6933557,31
10864,34,12,23547,0.8776400390000001,93
10865,24,13,27181,0.760280343,89
10866,45,17,29312,0.704924945,20
10867,20,17,31117,0.664030916,92
10868,13,22,28271,0.730876517,95
10869,234,11,18243,1.132461218,39
10870,31,26,29940,0.689860721,112
10871,107,13,26475,0.7801121809999999,19
10872,5,30,38104,0.541987718,87
10873,103,18,31780,0.649651038,89
10874,190,22,24421,0.8452827479999999,95
10875,23,9,31005,0.66577681,12
10876,118,18,29040,0.710822658,91
10877,16,25,28850,0.715500867,72
10878,79,19,31636,0.652429195,17
10879,206,4,25560,0.807419405,68
10880,5,17,26023,0.792891288,45
10881,12,33,28261,0.7300502459999999,50
10882,26,17,25364,0.813404826,84
10883,290,28,23985,0.860135918,41
10884,81,28,28631,0.720548007,20
10885,375,16,28924,0.713191467,35
10886,25,20,26160,0.7885,26
10887,22,29,21827,0.9449736559999999,22
10888,69,28,31004,0.665238679,54
10889,39,17,20061,1.028024525,64
10890,8,25,28098,0.7338977859999999,39
10891,56,38,33498,0.615542122,67
10892,162,11,29096,0.708632458,19
10893,33,17,27186,0.7583715879999999,24
10894,137,19,33190,0.621061464,20
10895,34,23,26955,0.764519013,56
10896,228,19,32944,0.6255172410000001,25
10897,71,17,32465,0.634657631,52
10898,9,14,27408,0.751507589,35
10899,102,22,27520,0.748381904,61
10900,125,12,36489,0.564403793,52
10901,149,10,16277,1.26524421,103
10902,43,14,20292,1.0147738020000001,110
10903,1,14,25862,0.796159616,112
10904,63,18,28342,0.7264882509999999,78
10905,25,27,31487,0.653920983,93
10906,136,18,31199,0.659933652,31
10907,8,48,25052,0.821781095,85
10908,19,34,32307,0.6371758439999999,90
10909,45,21,33909,0.607047981,73
10910,157,12,27078,0.7600642590000001,80
10911,19,25,31717,0.648882618,19
10912,107,11,30447,0.675926692,96
10913,46,10,27110,0.75904242,18
10914,100,15,28766,0.715328513,31
10915,148,11,14153,1.453848654,65
10916,77,27,26171,0.786200757,67
10917,33,13,17874,1.151104957,92
10918,4,31,32826,0.626779991,47
10919,11,19,29588,0.6951787890000001,64
10920,115,17,27365,0.751620318,34
10921,24,23,24878,0.826743307,49
10922,561,4,27010,0.76144391,20
10923,65,19,29605,0.694691775,43
10924,4,22,28074,0.7325130009999999,88
10925,97,16,38323,0.536572554,71
10926,383,8,13708,1.5,98
10927,12,40,28916,0.711030225,101
10928,29,11,19187,1.071546881,17
10929,253,12,30884,0.665694211,60
10930,26,17,27634,0.7439816890000001,95
10931,2,18,38833,0.529383257,28
10932,18,24,29313,0.701234947,100
10933,1,34,31783,0.64671082,31
10934,66,18,30932,0.664463339,42
10935,5,29,33656,0.610681008,84
10936,2,29,24849,0.8270707070000001,76
10937,3,27,25014,0.8216150959999999,27
10938,5,43,31680,0.648695707,52
10939,203,3,36696,0.56,62
10940,118,3,36696,0.56,96
10941,8,19,27108,0.758062565,19
10942,10,24,32146,0.639249984,78
10943,26,16,26677,0.7702803909999999,71
10944,2,27,32279,0.636575792,101
10945,26,18,26612,0.772093417,42
10946,42,15,28135,0.730264439,16
10947,1,30,26877,0.764409718,19
10948,60,19,30478,0.6740222459999999,75
10949,26,29,25507,0.805211511,40
10950,17,16,19519,1.052182489,65
10951,11,33,32936,0.623548093,18
10952,22,24,29090,0.705960811,74
10953,94,9,20415,1.0059353420000001,100
10954,63,17,23795,0.863026266,39
10955,25,24,22366,0.918131092,31
10956,100,17,30169,0.680595313,22
10957,37,5,29219,0.70270064,14
10958,122,22,25330,0.810452428,68
10959,172,6,28144,0.7294023590000001,83
10960,163,20,30594,0.670975028,79
10961,50,21,25919,0.7919310159999999,32
10962,50,18,25546,0.803455335,28
10963,49,26,24060,0.853059435,27
10964,65,23,29132,0.7043543179999999,70
10965,316,4,30398,0.675,79
10966,115,10,23840,0.860653523,79
10967,35,28,31359,0.654265761,35
10968,479,4,19243,1.066190303,16
10969,6,17,30922,0.663492659,54
10970,27,17,26008,0.788808444,34
10971,136,16,30603,0.670342777,93
10972,60,21,29490,0.695627331,12
10973,29,19,29347,0.698910962,14
10974,23,24,32174,0.637367129,23
10975,14,26,28558,0.718038728,71
10976,4,14,17147,1.195859917,93
10977,161,14,38350,0.53468605,94
10978,100,18,32937,0.622531803,80
10979,30,19,28805,0.711748655,55
10980,24,17,27928,0.734065454,15
10981,60,19,25002,0.8199676029999999,31
10982,249,28,25636,0.799679357,20
10983,38,18,27538,0.7444157159999999,103
10984,2,20,32943,0.622245394,36
10985,78,7,26688,0.767970624,18
10986,109,20,26404,0.776139221,102
10987,42,22,25892,0.791459138,107
10988,41,13,33131,0.618397875,92
10989,21,18,26807,0.764265304,48
10990,13,34,23318,0.878554765,37
10991,20,25,28478,0.719355643,13
10992,37,28,29586,0.692334888,100
10993,11,29,25395,0.8064260679999999,72
10994,334,20,16019,1.2784006490000002,38
10995,4,25,24264,0.843987389,100
10996,136,8,25840,0.7925,19
10997,65,19,30666,0.667777669,41
10998,147,11,19881,1.029704743,70
10999,8,13,37236,0.549648727,79
11000,35,26,30223,0.677189888,28
11001,18,29,26798,0.763730875,31
11002,83,17,27037,0.756942708,106
11003,4,11,21017,0.973741733,17
11004,5,29,32838,0.623206955,18
11005,80,25,30933,0.66155465,68
11006,170,21,26095,0.784170914,99
11007,48,16,26422,0.7744307770000001,83
11008,1,20,34368,0.595346543,67
11009,204,35,34562,0.59197992,89
11010,77,23,38308,0.534089224,25
11011,130,11,29836,0.6856998259999999,35
11012,21,14,29063,0.703906685,19
11013,38,25,27999,0.73061395,31
11014,17,32,35496,0.576277045,42
11015,28,23,29889,0.684329352,55
11016,31,24,24325,0.84068777,41
11017,20,20,26660,0.766954989,49
11018,2,17,29977,0.6820775929999999,76
11019,291,10,23119,0.88435486,24
11020,57,17,26635,0.767589638,17
11021,65,13,24859,0.822423267,79
11022,35,18,31612,0.646575351,12
11023,70,29,23263,0.878585307,40
11024,270,3,25479,0.8020938809999999,19
11025,9,25,36383,0.561678256,83
11026,220,12,27864,0.7333333329999999,18
11027,615,4,27244,0.75,20
11028,93,11,29004,0.704447662,38
11029,253,17,26378,0.774525362,60
11030,43,11,27922,0.731686484,44
11031,8,24,22575,0.904848283,78
11032,64,5,28427,0.718535195,16
11033,16,28,31003,0.658820114,23
11034,1,25,33301,0.613305006,47
11035,1,15,24765,0.8246929129999999,40
11036,42,26,32177,0.634705535,72
11037,19,28,25229,0.8093610529999999,36
11038,94,22,35085,0.581845518,96
11039,11,13,24717,0.8258918959999999,16
11040,76,28,34627,0.589486528,16
11041,7,27,22966,0.888659758,49
11042,11,21,29519,0.691277482,31
11043,112,26,31443,0.648857297,61
11044,126,17,23148,0.8813387770000001,104
11045,83,26,36201,0.5635261460000001,15
11046,258,19,27120,0.752168142,69
11047,269,20,35865,0.5687639760000001,29
11048,36,31,22901,0.890661543,26
11049,4,35,29325,0.6955290709999999,45
11050,18,26,32870,0.620396714,106
11051,58,14,21515,0.9475579829999999,96
11052,16,12,29166,0.698982034,85
11053,187,18,26424,0.771507342,58
11054,165,17,22595,0.902181013,24
11055,17,11,25672,0.794016828,42
11056,301,15,29182,0.698358577,33
11057,206,14,33010,0.617262042,95
11058,17,25,24746,0.82335529,55
11059,38,20,32748,0.622167155,42
11060,225,13,26157,0.778927247,89
11061,48,15,26915,0.7569321940000001,57
11062,85,32,23343,0.872730583,46
11063,497,11,27529,0.740019616,22
11064,12,22,30617,0.6653408239999999,99
11065,59,12,21802,0.934286763,35
11066,42,16,26470,0.769519834,84
11067,261,17,27994,0.72755269,19
11068,151,30,29609,0.687846601,30
11069,13,13,25099,0.8114211720000001,30
11070,22,18,27540,0.7394444440000001,41
11071,222,17,33978,0.599278651,31
11072,10,13,35838,0.568116524,36
11073,116,14,30206,0.673967755,71
11074,66,11,31216,0.6521120579999999,72
11075,4,28,33240,0.612393201,71
11076,2,24,29565,0.688513107,96
11077,56,22,25629,0.7942311440000001,17
11078,98,22,33350,0.610334633,53
11079,9,24,30323,0.671248227,79
11080,129,16,26530,0.767113833,60
11081,4,21,32980,0.617077926,76
11082,309,10,26430,0.77,16
11083,30,11,16641,1.222708972,53
11084,26,12,22178,0.917419966,61
11085,280,14,26628,0.764084422,24
11086,56,26,25270,0.805108429,39
11087,185,19,21928,0.927747173,81
11088,26,13,18416,1.104600348,25
11089,232,20,30046,0.67691939,53
11090,123,24,22977,0.8851220790000001,25
11091,5,27,31657,0.6423956789999999,37
11092,69,37,23917,0.850261739,45
11093,44,17,23862,0.8521670440000001,99
11094,3,29,31619,0.64308011,13
11095,292,14,31408,0.647350675,66
11096,36,28,26357,0.7713821759999999,26
11097,30,20,26950,0.754401855,36
11098,4,43,38141,0.533023256,28
11099,39,21,28526,0.712601136,71
11100,34,17,26088,0.779154017,100
11101,81,9,18042,1.126381776,31
11102,77,28,25792,0.787920285,88
11103,7,27,20165,1.007779321,72
11104,5,19,28539,0.7120189920000001,106
11105,11,29,24075,0.84390405,101
11106,102,20,28588,0.710675108,38
11107,32,8,25840,0.78625,16
11108,27,18,27620,0.735511586,61
11109,45,35,28792,0.705551542,24
11110,16,33,23863,0.850876252,68
11111,5,17,25501,0.796180934,42
11112,24,22,30429,0.6672342170000001,29
11113,138,11,25318,0.8018160990000001,87
11114,18,30,26551,0.764574216,65
11115,28,12,19546,1.038491763,14
11116,73,13,24310,0.834917729,46
11117,21,20,28391,0.714902258,14
11118,35,16,26102,0.777528542,102
11119,15,14,22485,0.9024651990000001,54
11120,98,20,26224,0.773539124,24
11121,20,21,34795,0.582963644,30
11122,5,24,28320,0.716221751,70
11123,14,17,22197,0.913742398,101
11124,71,19,26376,0.768952457,14
11125,42,19,29491,0.687607745,58
11126,26,19,28717,0.706126685,75
11127,75,29,31245,0.648704113,69
11128,49,27,25118,0.80691536,24
11129,12,29,26243,0.772317189,45
11130,174,15,25997,0.779558795,62
11131,25,27,25431,0.7968027209999999,43
11132,22,28,44878,0.451488703,50
11133,99,25,29474,0.687415688,68
11134,15,24,35782,0.566131575,43
11135,15,24,28463,0.7116892109999999,22
11136,42,23,26090,0.7762844,17
11137,2,43,30777,0.658059265,51
11138,66,5,25564,0.792102175,21
11139,37,32,23308,0.868759653,85
11140,18,29,26310,0.769584569,29
11141,107,11,21138,0.957810578,19
11142,16,17,30929,0.6546015070000001,51
11143,84,22,22875,0.88506929,22
11144,28,10,14050,1.4409074730000002,41
11145,26,21,31540,0.641759353,18
11146,3,15,26449,0.7651631440000001,47
11147,51,23,31605,0.640192691,77
11148,132,20,27715,0.729941548,24
11149,19,19,31731,0.6375390000000001,53
11150,106,16,42756,0.47311956200000005,35
11151,64,18,32587,0.620735876,64
11152,108,15,30242,0.668846968,44
11153,264,17,26078,0.7756246640000001,80
11154,67,26,30834,0.655986898,42
11155,107,9,23872,0.847006954,29
11156,18,15,27288,0.7408941659999999,26
11157,22,28,24908,0.8116593059999999,21
11158,140,16,29084,0.695021661,110
11159,31,27,23960,0.843654007,14
11160,67,19,30333,0.666384466,72
11161,23,20,25998,0.7773178709999999,91
11162,28,14,27294,0.740408148,53
11163,13,19,25259,0.799975058,14
11164,108,13,31058,0.650601133,56
11165,36,16,25544,0.790811932,103
11166,1,15,30070,0.671759228,67
11167,128,19,31313,0.645060518,31
11168,66,18,25279,0.79901341,67
11169,28,14,23037,0.8765885309999999,22
11170,12,28,28510,0.708293932,65
11171,135,14,35301,0.572031954,50
11172,87,15,25661,0.7869097070000001,92
11173,5,20,29495,0.6845984070000001,90
11174,213,27,37411,0.539681644,32
11175,145,24,24733,0.8162915940000001,63
11176,16,26,24901,0.8106341109999999,54
11177,518,2,24464,0.825,53
11178,19,18,29376,0.6868304059999999,27
11179,2,17,32649,0.617975436,78
11180,12,15,23446,0.86050627,79
11181,46,17,32146,0.627617433,67
11182,154,17,23928,0.843062103,84
11183,21,25,22933,0.879610605,30
11184,36,22,27253,0.740169156,40
11185,30,11,20310,0.993145249,66
11186,28,18,22935,0.879379115,35
11187,13,24,29502,0.6836072129999999,90
11188,32,29,28285,0.71298957,71
11189,61,26,24220,0.832616433,65
11190,1,19,28754,0.701277387,14
11191,3,25,24733,0.815211256,81
11192,56,16,19673,1.024865043,26
11193,4,23,28318,0.71196165,70
11194,107,13,22931,0.8791478779999999,45
11195,116,20,26660,0.7561657909999999,38
11196,31,17,28581,0.70531437,48
11197,199,9,25358,0.7948655259999999,44
11198,9,16,23718,0.8498144870000001,59
